Directorate,Type of Expenditure,Supplier,£
Adult & Community Services,Residential Care,Central & Cecil Housing Trust,"2,502.96"
Adult & Community Services,Residential Care,Central & Cecil Housing Trust,"2,502.96"
Housing,Supported Living,Age Concern Richmond upon Thames,"2,500.00"
Adult & Community Services,Residential Care,Central & Cecil Housing Trust,"2,498.96"
Adult & Community Services,Residential Care,Central & Cecil Housing Trust,"2,498.96"
Adult & Community Services,Residential Care,Central & Cecil Housing Trust,"2,498.96"
Childrens' & Cultural Services,Energy - Electricity,Kent County Council(Kcs),"2,497.62"
Adult & Community Services,Residential Care,National Children's Bureau,"2,490.97"
Adult & Community Services,Residential Care,Scope,"2,490.90"
Finance & Corporate Services,Software Development,Civica UK Limited,"2,487.50"
Environment,Energy - Gas,Kent County Council(Kcs),"2,472.58"
Adult & Community Services,Residential Care,Sons Of Divine Providence,"2,467.40"
Adult & Community Services,Residential Care,Dalemead Residential Care Home,"2,466.16"
Adult & Community Services,Residential Care,Dalemead Residential Care Home,"2,466.16"
Adult & Community Services,Residential Care,Dalemead Residential Care Home,"2,466.12"
Adult & Community Services,Residential Care,Dalemead Residential Care Home,"2,466.12"
Adult & Community Services,Residential Care,Dalemead Residential Care Home,"2,466.12"
Adult & Community Services,Residential Care,Dalemead Residential Care Home,"2,466.12"
Environment,Court Expenses,City Of London,"2,460.00"
Childrens' & Cultural Services,property Maintenance,Hexagon Developments Ltd,"2,457.00"
Adult & Community Services,Residential Care,Dalemead Residential Care Home,"2,456.92"
Adult & Community Services,Residential Care,Dalemead Residential Care Home,"2,456.92"
Adult & Community Services,Residential Care,Dalemead Residential Care Home,"2,456.92"
Adult & Community Services,Residential Care,Dalemead Residential Care Home,"2,456.92"
Adult & Community Services,Residential Care,Sons Of Divine Providence,"2,453.65"
Adult & Community Services,Residential Care,Central & Cecil Housing Trust,"2,436.00"
Adult & Community Services,Residential Care,Central & Cecil Housing Trust,"2,436.00"
Adult & Community Services,Residential Care,Central & Cecil Housing Trust,"2,436.00"
Adult & Community Services,Residential Care,Central & Cecil Housing Trust,"2,436.00"
Adult & Community Services,Residential Care,Central & Cecil Housing Trust,"2,436.00"
Adult & Community Services,Residential Care,Central & Cecil Housing Trust,"2,436.00"
Adult & Community Services,Residential Care,Central & Cecil Housing Trust,"2,436.00"
Adult & Community Services,Residential Care,Central & Cecil Housing Trust,"2,436.00"
Adult & Community Services,Residential Care,Central & Cecil Housing Trust,"2,436.00"
Adult & Community Services,Residential Care,Central & Cecil Housing Trust,"2,436.00"
Adult & Community Services,Residential Care,Central & Cecil Housing Trust,"2,436.00"
Adult & Community Services,Residential Care,Central & Cecil Housing Trust,"2,436.00"
Finance & Corporate Services,External Consultants,Optimus Consultants (UK) Ltd,"2,425.00"
Adult & Community Services,Re-ablement,Chrysalis Community Care Ltd,"2,409.85"
Adult & Community Services,Home Care,Carewatch (Spelthorne & Hounslow),"2,405.30"
Adult & Community Services,Residential Care,Central & Cecil Housing Trust,"2,401.88"
Adult & Community Services,Residential Care,Central & Cecil Housing Trust,"2,401.88"
Adult & Community Services,Residential Care,Central & Cecil Housing Trust,"2,401.88"
Adult & Community Services,Residential Care,Central & Cecil Housing Trust,"2,401.88"
Adult & Community Services,Residential Care,Central & Cecil Housing Trust,"2,401.88"
Adult & Community Services,Residential Care,Central & Cecil Housing Trust,"2,401.88"
Adult & Community Services,Residential Care,Central & Cecil Housing Trust,"2,401.88"
Adult & Community Services,Residential Care,Central & Cecil Housing Trust,"2,401.88"
Adult & Community Services,Residential Care,Central & Cecil Housing Trust,"2,401.88"
Adult & Community Services,Residential Care,Central & Cecil Housing Trust,"2,400.00"
Adult & Community Services,Residential Care,Central & Cecil Housing Trust,"2,400.00"
Adult & Community Services,Residential Care,Central & Cecil Housing Trust,"2,400.00"
Adult & Community Services,Respite Care,CRNH LTD,"2,399.91"
Adult & Community Services,Home Care,Carewatch (Spelthorne & Hounslow),"2,390.88"
Adult & Community Services,Residential Care,Central & Cecil Housing Trust,"2,369.92"
Adult & Community Services,Residential Care,Central & Cecil Housing Trust,"2,369.92"
Adult & Community Services,Residential Care,Central & Cecil Housing Trust,"2,369.92"
Adult & Community Services,Residential Care,Central & Cecil Housing Trust,"2,369.92"
Adult & Community Services,Residential Care,Central & Cecil Housing Trust,"2,369.92"
Adult & Community Services,Residential Care,Central & Cecil Housing Trust,"2,369.92"
Adult & Community Services,Residential Care,Central & Cecil Housing Trust,"2,369.64"
Adult & Community Services,Residential Care,Central & Cecil Housing Trust,"2,369.64"
Adult & Community Services,Residential Care,Central & Cecil Housing Trust,"2,369.64"
Adult & Community Services,Home Care,Allied Healthcare Group Ltd,"2,369.31"
Adult & Community Services,Residential Care,DORMERS WELLS LODGE LTD,"2,369.29"
Adult & Community Services,Residential Care,Central & Cecil Housing Trust,"2,362.72"
Adult & Community Services,Residential Care,Central & Cecil Housing Trust,"2,362.72"
Adult & Community Services,Residential Care,Central & Cecil Housing Trust,"2,362.72"
Adult & Community Services,Residential Care,Central & Cecil Housing Trust,"2,362.68"
Adult & Community Services,Residential Care,Central & Cecil Housing Trust,"2,362.68"
Adult & Community Services,Residential Care,Central & Cecil Housing Trust,"2,362.68"
Adult & Community Services,Residential Care,Central & Cecil Housing Trust,"2,362.68"
Adult & Community Services,Residential Care,Central & Cecil Housing Trust,"2,362.68"
Adult & Community Services,Residential Care,Central & Cecil Housing Trust,"2,362.68"
Childrens' & Cultural Services,Miscellaneous Expens,Kew Riverside Primary School,"2,362.50"
Childrens' & Cultural Services,External Consultants,Jo Beldham,"2,356.70"
Adult & Community Services,Residential Care,Central & Cecil Housing Trust,"2,346.00"
Adult & Community Services,Residential Care,Central & Cecil Housing Trust,"2,346.00"
Adult & Community Services,Residential Care,Central & Cecil Housing Trust,"2,346.00"
Adult & Community Services,Residential Care,Rosina Annan,"2,345.84"
Housing,Assessible Trans Ser,Venture Factors,"2,344.00"
Adult & Community Services,Home Care,Allied Healthcare Group Ltd,"2,329.73"
Environment,Energy - Gas,Kent County Council(Kcs),"2,326.48"
Adult & Community Services,Residential Care,Central & Cecil Housing Trust,"2,323.20"
Adult & Community Services,Residential Care,Central & Cecil Housing Trust,"2,323.20"
Adult & Community Services,Residential Care,Central & Cecil Housing Trust,"2,323.20"
Adult & Community Services,Residential Care,Sons Of Divine Providence,"2,320.00"
Adult & Community Services,Residential Care,Sons Of Divine Providence,"2,320.00"
Adult & Community Services,Residential Care,Sons Of Divine Providence,"2,320.00"
Adult & Community Services,Residential Care,Sons Of Divine Providence,"2,320.00"
Adult & Community Services,Residential Care,Sons Of Divine Providence,"2,320.00"
Adult & Community Services,Residential Care,Sons Of Divine Providence,"2,320.00"
Childrens' & Cultural Services,Independent Schools,I Can Services Ltd,"2,311.00"
Environment,Highways Maintenance,VOLKERHIGHWAYS LTD,"2,307.62"
Adult & Community Services,Residential Care,Entertainment Artistes,"2,306.88"
Adult & Community Services,Home Care,Allied Healthcare Group Ltd,"2,306.08"
Adult & Community Services,Home Care,Carewatch (Spelthorne & Hounslow),"2,301.36"
Childrens' & Cultural Services,Furniture & Equipmen,Richmond Childminding Group,"2,300.43"
Environment,Vehicle Licences,Post Office Counters Ltd,"2,300.00"
Adult & Community Services,Residential Care,DORMERS WELLS LODGE LTD,"2,292.86"
Adult & Community Services,Residential Care,DORMERS WELLS LODGE LTD,"2,292.86"
Adult & Community Services,Home Care,Carewatch (Spelthorne & Hounslow),"2,290.92"
Adult & Community Services,Home Care,Allied Healthcare Group Ltd,"2,289.06"
Adult & Community Services,Residential Care,Central & Cecil Housing Trust,"2,284.16"
Adult & Community Services,Residential Care,Central & Cecil Housing Trust,"2,284.16"
Adult & Community Services,Residential Care,Central & Cecil Housing Trust,"2,284.16"
Childrens' & Cultural Services,Pools Parking Refund,Springhealth Leisure Plc,"2,263.83"
Adult & Community Services,Home Care,Allied Healthcare Group Ltd,"2,257.67"
Adult & Community Services,Nursing Care,Barchester Healthcare Homes Ltd,"2,257.51"
Environment,Software Development,Pitney Bowes Mapinfo Limited,"2,254.80"
Adult & Community Services,Nursing Care,Brownscombe House,"2,250.15"
Adult & Community Services,Nursing Care,Brownscombe House,"2,250.15"
Adult & Community Services,Nursing Care,Brownscombe House,"2,250.15"
Adult & Community Services,Nursing Care,Brownscombe House,"2,250.15"
Adult & Community Services,Nursing Care,Brownscombe House,"2,250.15"
Adult & Community Services,Nursing Care,Entertainment Artistes,"2,249.60"
Adult & Community Services,Nursing Care,Entertainment Artistes,"2,249.60"
Adult & Community Services,Nursing Care,Entertainment Artistes,"2,249.60"
Adult & Community Services,Nursing Care,Entertainment Artistes,"2,249.60"
Adult & Community Services,Nursing Care,Entertainment Artistes,"2,249.60"
Childrens' & Cultural Services,Miscellaneous Expens,Heathfield Infant School,"2,224.50"
Childrens' & Cultural Services,Legal Fees,Ali Bird,"2,222.60"
Adult & Community Services,Nursing Care,Barchester Healthcare Homes Ltd,"2,222.48"
Childrens' & Cultural Services,Miscellaneous Client,Safehouses,"2,221.63"
Childrens' & Cultural Services,Respite Care,White Lodge Centre,"2,220.00"
Adult & Community Services,Nursing Care,Forest Care Ltd - Cedar Lodge,"2,214.33"
Adult & Community Services,Nursing Care,Royal Star & Garter Home,"2,214.29"
Adult & Community Services,Nursing Care,Royal Star & Garter Home,"2,214.29"
Housing,Assessible Trans Ser,Venture Factors,"2,209.00"
Childrens' & Cultural Services,Pools Parking Refund,Springhealth Leisure Plc,"2,208.94"
Adult & Community Services,Residential Care,COATE WATER CARE CO. LTD,"2,205.52"
Adult & Community Services,Residential Care,COATE WATER CARE CO. LTD,"2,205.52"
Housing,Rent rebates for B&B,The Pine Lodge,"2,205.00"
Adult & Community Services,Home Care,Safe Start Foundation,"2,200.00"
Adult & Community Services,Residential Care,St Mary's House,"2,200.00"
Adult & Community Services,Residential Care,St Mary's House,"2,200.00"
Housing,Reactive Maint (DSO),Oakmarket Group Ltd,"2,196.47"
Adult & Community Services,Home Care,Allied Healthcare Group Ltd,"2,191.73"
Adult & Community Services,Nursing Care,Barchester Healthcare Homes Ltd,"2,184.69"
Finance & Corporate Services,External Consultants,Optimus Consultants (UK) Ltd,"2,182.50"
Adult & Community Services,Residential Care,Central & Cecil Housing Trust,"2,178.72"
Adult & Community Services,Residential Care,Central & Cecil Housing Trust,"2,178.72"
Adult & Community Services,Residential Care,Central & Cecil Housing Trust,"2,178.72"
Adult & Community Services,Nursing Care,Brownscombe House,"2,177.57"
Adult & Community Services,Nursing Care,Brownscombe House,"2,177.57"
Adult & Community Services,Nursing Care,Brownscombe House,"2,175.85"
Housing,Rent rebates for B&B,The Pine Lodge,"2,170.00"
Adult & Community Services,Home Care,Allied Healthcare Group Ltd,"2,155.85"
Adult & Community Services,Home Care,Allied Healthcare Group Ltd,"2,155.40"
Environment,Street Lighting 3/4,David Webster Limited,"2,154.71"
Adult & Community Services,Nursing Care,Barchester Healthcare Homes Ltd,"2,150.79"
Environment,Vehicle Hire,John Hanlon & Company Ltd,"2,150.00"
Adult & Community Services,Nursing Care,Forest Care Ltd - Cedar Lodge,"2,142.90"
Adult & Community Services,Nursing Care,Care Uk Community Partnerships Ltd,"2,136.83"
Adult & Community Services,Home Care,Allied Healthcare Group Ltd,"2,126.26"
Adult & Community Services,Furniture & Equipmen,Montcalm International ltd,"2,125.00"
Adult & Community Services,Home Care,Eleanor Nursing and Social Care Ltd,"2,124.55"
Childrens' & Cultural Services,Furniture & Equipmen,Richmond Childminding Group,"2,119.11"
Childrens' & Cultural Services,Publicity Expenses,Maygray Graphics Limited,"2,114.00"
Adult & Community Services,Home Care,Allied Healthcare Group Ltd,"2,110.88"
Adult & Community Services,Home Care,Allied Healthcare Group Ltd,"2,110.88"
Adult & Community Services,Nursing Care,Cliftonville Nursing Homes Ltd,"2,110.48"
Adult & Community Services,Nursing Care,Cliftonville Nursing Homes Ltd,"2,110.48"
Adult & Community Services,Nursing Care,Cliftonville Nursing Homes Ltd,"2,110.48"
Adult & Community Services,Home Care,Allied Healthcare Group Ltd,"2,110.46"
Adult & Community Services,Home Care,"Care Uk Homecare,Connaught House","2,108.27"
Childrens' & Cultural Services,Asylum Seekers Sub,West Thames College,"2,100.00"
Housing,Rent rebates for B&B,The Pine Lodge,"2,100.00"
Environment,Minor Contract Payme,F M Conway Limited,"2,097.38"
Adult & Community Services,Home Care,Eleanor Nursing and Social Care Ltd,"2,093.58"
Adult & Community Services,External Consultants,Shirley Ayres Consulting Ltd,"2,093.33"
Adult & Community Services,External Consultants,Shirley Ayres Consulting Ltd,"2,093.33"
Adult & Community Services,External Consultants,Shirley Ayres Consulting Ltd,"2,093.33"
Adult & Community Services,External Consultants,Shirley Ayres Consulting Ltd,"2,093.33"
Adult & Community Services,External Consultants,Shirley Ayres Consulting Ltd,"2,093.33"
Childrens' & Cultural Services,Rents Payable,ST.CHRISTOPHER'S FELLOWSHIP,"2,090.34"
Adult & Community Services,Home Care,Allied Healthcare Group Ltd,"2,088.69"
Childrens' & Cultural Services,Independent Foster,Next Step Fostering Services Ltd,"2,086.14"
Environment,Photocopier Expenses,Ricoh UK Limited,"2,085.84"
Adult & Community Services,Residential Care,Redcotts (S Hassan),"2,085.20"
Finance & Corporate Services,Subscriptions,CIPFA Business Limited,"2,085.00"
Adult & Community Services,Nursing Care,Southern Cross Healthcare Group PLC,"2,080.00"
Adult & Community Services,Nursing Care,Southern Cross Healthcare Group PLC,"2,080.00"
Adult & Community Services,Nursing Care,Southern Cross Healthcare Group PLC,"2,080.00"
Childrens' & Cultural Services,Pools Parking Refund,Springhealth Leisure Plc,"2,078.51"
Childrens' & Cultural Services,Employee Training Ex,CACI Limited,"2,070.00"
Childrens' & Cultural Services,Pools Parking Refund,Springhealth Leisure Plc,"2,069.15"
Housing,Rent rebates for B&B,The Pine Lodge,"2,065.00"
Environment,Grounds Maintenance,Veolia ES (UK) Limited,"2,061.00"
Adult & Community Services,Home Care,Allied Healthcare Group Ltd,"2,060.88"
Childrens' & Cultural Services,property Maintenance,Springhealth Leisure Plc,"2,055.00"
Childrens' & Cultural Services,Furniture & Equipmen,CLEAPSS,"2,054.26"
Environment,Purchase-Diesel Fuel,PACE FUELCARE LTD,"2,043.60"
Adult & Community Services,Home Care,Allied Healthcare Group Ltd,"2,042.88"
Adult & Community Services,Home Care,Allied Healthcare Group Ltd,"2,042.88"
Environment,Highway Salt,Salt Union Ltd,"2,027.00"
Adult & Community Services,Nursing Care,Royal Star & Garter Home,"2,021.12"
Adult & Community Services,Nursing Care,Royal Star & Garter Home,"2,021.11"
Adult & Community Services,Nursing Care,Royal Star & Garter Home,"2,021.02"
Adult & Community Services,Nursing Care,Royal Star & Garter Home,"2,021.02"
Adult & Community Services,Nursing Care,Royal Star & Garter Home,"2,020.05"
Adult & Community Services,Home Care,Enara Community Care,"2,018.39"
Housing,Rent rebates for B&B,S K Toor T/A The First Lodge,"2,016.00"
Adult & Community Services,Residential Care,Sons Of Divine Providence,"2,004.52"
Adult & Community Services,Residential Care,Sons Of Divine Providence,"2,004.52"
Childrens' & Cultural Services,16+ Education Provis,Richmond upon Thames College,"2,000.00"
Childrens' & Cultural Services,Grants School Donati,Christ's School,"2,000.00"
Environment,Purchase-Diesel Fuel,RECYCLED BIODIESEL LIMITED,"2,000.00"
Environment,Purchase-Diesel Fuel,RECYCLED BIODIESEL LIMITED,"2,000.00"
Environment,Purchase-Diesel Fuel,RECYCLED BIODIESEL LIMITED,"2,000.00"
Adult & Community Services,Home Care,Able Community Care The Old Parish,"1,993.18"
Adult & Community Services,Home Care,Yarrow Housing Ltd.,"1,989.64"
Adult & Community Services,Re-ablement,Taylor Gordon & Co T/A,"1,989.35"
Environment,Purchase-Diesel Fuel,PACE FUELCARE LTD,"1,985.21"
Adult & Community Services,Supported Living,Metropolitan Support Trust,"1,980.00"
Adult & Community Services,Residential Care,Sons Of Divine Providence,"1,973.92"
Adult & Community Services,Residential Care,Sons Of Divine Providence,"1,973.92"
Adult & Community Services,Home Care,Allied Healthcare Group Ltd,"1,970.08"
Environment,Minor Contract Payme,VOLKERHIGHWAYS LTD,"1,965.16"
Adult & Community Services,Home Care,Enara Community Care,"1,963.63"
Adult & Community Services,Residential Care,Sons Of Divine Providence,"1,962.92"
Housing,Rent rebates for B&B,Star Properties Ltd T/A Acton Town,"1,960.00"
Adult & Community Services,Residential Care,GLOW REST HOME,"1,960.00"
Adult & Community Services,Nursing Care,Royal Star & Garter Home,"1,955.83"
Adult & Community Services,Re-ablement,Chrysalis Community Care Ltd,"1,954.28"
Adult & Community Services,Residential Care,ZZFees Res Care Cont,"1,953.06"
Childrens' & Cultural Services,External Consultants,Capita Resourcing Ltd,"1,950.00"
Childrens' & Cultural Services,External Consultants,Capita Resourcing Ltd,"1,950.00"
Adult & Community Services,Nursing Care,Barchester Healthcare Homes Ltd T/a,"1,940.96"
Adult & Community Services,Nursing Care,Barchester Healthcare Homes Ltd T/a,"1,940.96"
Finance & Corporate Services,External Consultants,Optimus Consultants (UK) Ltd,"1,940.00"
Finance & Corporate Services,External Consultants,Optimus Consultants (UK) Ltd,"1,940.00"
Environment,Vehicle Hire,Dawson Rentals Bus and Coach Ltd,"1,935.54"
Environment,Vehicle Hire,Dawson Rentals Bus and Coach Ltd,"1,935.54"
Environment,Vehicle Hire,Dawson Rentals Bus and Coach Ltd,"1,935.54"
Environment,Vehicle Hire,Dawson Rentals Bus and Coach Ltd,"1,935.54"
Environment,Vehicle Hire,Dawson Rentals Bus and Coach Ltd,"1,935.54"
Environment,Vehicle Hire,Dawson Rentals Bus and Coach Ltd,"1,935.53"
Adult & Community Services,Re-ablement,Chrysalis Community Care Ltd,"1,930.23"
Housing,Reactive Maint (DSO),Venture Factors,"1,923.00"
Environment,Other Materials,A C Van Santen & Son Ltd,"1,920.00"
Environment,Parking Voucher,"European Parking,Solutions Ltd","1,920.00"
Adult & Community Services,Home Care,Allied Healthcare Group Ltd,"1,910.74"
Adult & Community Services,Home Care,Allied Healthcare Group Ltd,"1,910.32"
Childrens' & Cultural Services,Legal Fees,South East Solutions Ltd,"1,907.88"
Adult & Community Services,Home Care,Yarrow Housing Ltd.,"1,906.05"
Environment,Stationery & Office,Office Depot UK Limited,"1,900.40"
Adult & Community Services,Nursing Care,BUPA Care Services,"1,897.80"
Adult & Community Services,Nursing Care,AVON CARE HOMES LTD,"1,897.29"
Adult & Community Services,Re-ablement,Chrysalis Community Care Ltd,"1,891.47"
Environment,Fixtures & Fittings,Kingston Traditional Upholstery,"1,880.00"
Adult & Community Services,Home Care,"Care Uk Homecare,Connaught House","1,878.96"
Housing,Rent rebates for B&B,S K Toor T/A The First Lodge,"1,876.00"
Adult & Community Services,Nursing Care,ST BENEDICTS NURSING HOME,"1,875.03"
Adult & Community Services,Nursing Care,ST BENEDICTS NURSING HOME,"1,875.03"
Adult & Community Services,Home Care,"Care Uk Homecare,Connaught House","1,868.68"
Adult & Community Services,Home Care,Enara Community Care,"1,862.96"
Adult & Community Services,Residential Care,The Frances Taylor Foundation,"1,860.31"
Environment,Minor Contract Payme,Martin Cranfield Associates Limited,"1,856.20"
Adult & Community Services,Nursing Care,Royal Star & Garter Home,"1,853.44"
Adult & Community Services,Home Care,Chrysalis Community Care Ltd,"1,849.34"
Childrens' & Cultural Services,Independent Schools,I Can Services Ltd,"1,849.00"
Adult & Community Services,Home Care,Chrysalis Community Care Ltd,"1,847.19"
Adult & Community Services,Home Care,Chrysalis Community Care Ltd,"1,847.19"
Adult & Community Services,Home Care,Chrysalis Community Care Ltd,"1,840.52"
Adult & Community Services,Day Care,Norwood Ravenswood Services Ltd,"1,840.25"
Environment,Vehicle Hire,R M MEARS LTD,"1,840.00"
Adult & Community Services,Residential Care,Gospel Standard Bethesda Fund,"1,834.54"
Environment,PDQ Machine Charges,COBALT TELEPHONE TECHNOLOGIES,"1,828.54"
Environment,Water Rates,Thames Water Utilities Limited,"1,826.96"
Adult & Community Services,Home Care,Enara Community Care,"1,826.92"
Adult & Community Services,Nursing Care,C & L A Gopaul T/A,"1,826.88"
Adult & Community Services,Nursing Care,C & L A Gopaul T/A,"1,826.88"
Environment,Property Maintenance,P&I Generators Ltd,"1,819.88"
Adult & Community Services,Re-ablement,Chrysalis Community Care Ltd,"1,817.75"
Adult & Community Services,Home Care,Enara Community Care,"1,815.71"
Adult & Community Services,Home Care,Strand Nurses Bureau T/A Advantage,"1,812.68"
Adult & Community Services,Residential Care,Entertainment Artistes,"1,808.40"
Housing,Rent rebates for B&B,S K Toor T/A The First Lodge,"1,806.00"
Adult & Community Services,Residential Care,The Frances Taylor Foundation,"1,800.30"
Finance & Corporate Services,Comms Data Lines,Virgin Media Payments Ltd T/A,"1,800.00"
Finance & Corporate Services,Comms Data Lines,Virgin Media Payments Ltd T/A,"1,800.00"
Finance & Corporate Services,Comms Data Lines,Virgin Media Payments Ltd T/A,"1,800.00"
Childrens' & Cultural Services,Comms Data Lines,Virgin Media Payments Ltd T/A,"1,800.00"
Environment,Comms Data Lines,Virgin Media Payments Ltd T/A,"1,800.00"
Environment,Comms Data Lines,Virgin Media Payments Ltd T/A,"1,800.00"
Finance & Corporate Services,Employee Training,Croydon Council,"1,800.00"
Environment,Minor Contract Payme,G & W Auto Recovery Service Ltd,"1,800.00"
Childrens' & Cultural Services,Public Transport,Ruth Hutton,"1,800.00"
Adult & Community Services,Re-ablement,Taylor Gordon & Co T/A,"1,797.52"
Childrens' & Cultural Services,Furniture & Equipmen,Airquee Limited,"1,795.00"
Adult & Community Services,Nursing Care,Royal Star & Garter Home,"1,793.65"
Adult & Community Services,Day Care,Norwood Ravenswood Services Ltd,"1,780.79"
Housing,Rent rebates for B&B,S K Toor T/A The First Lodge,"1,771.00"
Finance & Corporate Services,Agency Staff,Cashfriday Ltd,"1,765.40"
Housing,Brought Professional,EDM GROUP LIMITED,"1,764.22"
Adult & Community Services,Home Care,"Care Uk Homecare,Connaught House","1,762.86"
Finance & Corporate Services,Public Transport,London Underground Ltd,"1,760.00"
Adult & Community Services,Residential Care,Barrington House Ltd.,"1,758.63"
Adult & Community Services,Nursing Care,C & L A Gopaul T/A,"1,752.20"
Adult & Community Services,Nursing Care,C & L A Gopaul T/A,"1,752.20"
Adult & Community Services,Home Care,Enara Community Care,"1,742.62"
Adult & Community Services,Home Care,24/7 Glass & Glazing,"1,740.48"
Adult & Community Services,Home Care,Carewatch Kingston-Collection Acct,"1,740.48"
Adult & Community Services,Home Care,Carewatch Kingston-Collection Acct,"1,740.48"
Adult & Community Services,Home Care,Carewatch Kingston-Collection Acct,"1,740.48"
Childrens' & Cultural Services,Catering Supplies,Carford Group Limited,"1,740.00"
Housing,Assessible Trans Ser,Venture Factors,"1,739.00"
Adult & Community Services,Home Care,Home From Hospital Ltd,"1,729.80"
Finance & Corporate Services,Employee Training Ex,Levelheaded,"1,725.00"
Housing,Reactive Maint (DSO),Parker Car Service,"1,724.80"
Adult & Community Services,Home Care,Home From Hospital Ltd,"1,722.95"
Childrens' & Cultural Services,Brought Professional,Catherine Spencer,"1,720.00"
Childrens' & Cultural Services,Respite Care,White Lodge Centre,"1,720.00"
Adult & Community Services,Residential Care,Norwood Ravenswood Services Ltd,"1,719.39"
Environment,Load of Cullet/Rcycl,J C Dean Haulage Ltd,"1,717.10"
Environment,Load of Cullet/Rcycl,J C Dean Haulage Ltd,"1,717.10"
Environment,Fixtures & Fittings,Hunter Douglas Ltd,"1,715.00"
Childrens' & Cultural Services,Energy - Gas,Kent County Council(Kcs),"1,703.94"
Adult & Community Services,Home Care,"Care Uk Homecare,Connaught House","1,703.60"
Adult & Community Services,Residential Care,Barrington House Ltd.,"1,701.90"
Housing,Rent rebates for B&B,S K Toor T/A The First Lodge,"1,701.00"
Adult & Community Services,Asylum Seekers - PA,The Bremic Guest House,"1,700.00"
Finance & Corporate Services,External Consultants,Optimus Consultants (UK) Ltd,"1,700.00"
Finance & Corporate Services,External Consultants,Optimus Consultants (UK) Ltd,"1,700.00"
Finance & Corporate Services,External Consultants,Optimus Consultants (UK) Ltd,"1,700.00"
Adult & Community Services,Residential Care,CHD (Care Homes) Ltd.,"1,682.37"
Adult & Community Services,Residential Care,Ashton Care,"1,680.00"
Adult & Community Services,Residential Care,Ashton Care,"1,680.00"
Adult & Community Services,Home Care,"Care Uk Homecare,Connaught House","1,675.42"
Environment,Vehicle Hire,Dawson Rentals Bus and Coach Ltd,"1,668.58"
Environment,Vehicle Hire,Dawson Rentals Bus and Coach Ltd,"1,668.58"
Environment,Vehicle Hire,Dawson Rentals Bus and Coach Ltd,"1,668.58"
Environment,Vehicle Hire,Dawson Rentals Bus and Coach Ltd,"1,668.58"
Adult & Community Services,Residential Care,Norwood Ravenswood Services Ltd,"1,663.93"
Finance & Corporate Services,External Audit Fees,Audit Commission,"1,663.00"
Adult & Community Services,Other Materials,RNIB,"1,659.00"
Childrens' & Cultural Services,Rents Payable,Marston Properties Limited,"1,656.00"
Childrens' & Cultural Services,Rents Payable,Marston Properties Limited,"1,656.00"
Childrens' & Cultural Services,External Consultants,Capita Resourcing Ltd,"1,650.00"
Childrens' & Cultural Services,External Consultants,Capita Resourcing Ltd,"1,650.00"
Childrens' & Cultural Services,External Consultants,Capita Resourcing Ltd,"1,650.00"
Childrens' & Cultural Services,External Consultants,Capita Resourcing Ltd,"1,650.00"
Childrens' & Cultural Services,Home Care,Safe Start Foundation,"1,650.00"
Childrens' & Cultural Services,Local Activities,Synergy Theatre Project,"1,650.00"
Childrens' & Cultural Services,CSC Grnt fnding serv,Chase Bridge Pre-School Group,"1,645.00"
Childrens' & Cultural Services,Schools Equipment,IMAGINATIONS,"1,632.71"
Adult & Community Services,Nursing Care,CHD (Care Homes) Ltd.,"1,628.10"
Adult & Community Services,Home Care,Strand Nurses Bureau T/A Advantage,"1,626.18"
Environment,Parking Voucher,"European Parking,Solutions Ltd","1,625.81"
Environment,Computer Maintenance,Steve Wagstaff Consulting,"1,625.00"
Environment,External Audit Fees,SGS United Kingdom Ltd,"1,621.40"
Housing,Reactive Maint (DSO),Oakmarket Group Ltd,"1,616.76"
Environment,Agency Staff,D A Butler T/A G.B. (Plant),"1,615.50"
Environment,Minor Contract Payme,F M Conway Limited,"1,611.34"
Housing,Software Development,Pitney Bowes Mapinfo Limited,"1,610.57"
Adult & Community Services,Respite Care,Alpha Health Care Limited,"1,609.76"
Childrens' & Cultural Services,Stationery & Office,Office Depot UK Limited,"1,601.27"
Adult & Community Services,Furniture & Equipmen,CAG Decorating,"1,600.00"
Finance & Corporate Services,ICT expenditure,Probrand Ltd,"1,595.80"
Environment,Vehicle Spares,Johnston Sweepers Ltd,"1,593.51"
Environment,Minor Contract Payme,G & W Auto Recovery Service Ltd,"1,590.00"
Adult & Community Services,Re-ablement,Chrysalis Community Care Ltd,"1,589.70"
Childrens' & Cultural Services,Agency Staff,Oakleaf Partnership Limited,"1,589.45"
Childrens' & Cultural Services,Agency Staff,Oakleaf Partnership Limited,"1,589.45"
Childrens' & Cultural Services,Agency Staff,Oakleaf Partnership Limited,"1,589.45"
Adult & Community Services,Nursing Care,Royal Star & Garter Home,"1,572.98"
Childrens' & Cultural Services,Agency Staff,Cashfriday Ltd,"1,559.76"
Adult & Community Services,Home Care,Strand Nurses Bureau T/A Advantage,"1,554.68"
Housing,Reactive Maint (DSO),Oakmarket Group Ltd,"1,548.90"
Finance & Corporate Services,ICT expenditure,Probrand Ltd,"1,545.70"
Childrens' & Cultural Services,Asylum Seekers - PA,Astons,"1,544.40"
Childrens' & Cultural Services,Section 17,Carol Platteuw,"1,538.40"
Adult & Community Services,Home Care,Strand Nurses Bureau T/A Advantage,"1,519.43"
Adult & Community Services,Nursing Care,Royal Star & Garter Home,"1,516.92"
